,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
298165,298166,Abdias,1,1,חֲזֹ֖ון ,חָזֹון,H2377,35
298166,298167,Abdias,1,1,עֹֽבַדְיָ֑ה ,עֹבַדְיָה,H5662,11
298167,298168,Abdias,1,1,כֹּֽה־,כֹּה,H3541,577
298168,298169,Abdias,1,1,אָמַר֩ ,אמר,H559,5307
298169,298170,Abdias,1,1,אֲדֹנָ֨י ,אֲדֹנָי,H136,438
298170,298171,Abdias,1,1,יְהוִ֜ה ,יְהוָה,H3068,6828
298171,298172,Abdias,1,1,לֶ,לְ,H9005,20069
298172,298173,Abdias,1,1,אֱדֹ֗ום ,אֱדֹום,H123,100
298173,298174,Abdias,1,1,שְׁמוּעָ֨ה ,שְׁמוּעָה,H8052,27
298174,298175,Abdias,1,1,שָׁמַ֜עְנוּ ,שׁמע,H8085,1159
298175,298176,Abdias,1,1,מֵ,מִן,H4480,7562
298176,298177,Abdias,1,1,אֵ֤ת ,אֵת,H853,878
298177,298178,Abdias,1,1,יְהוָה֙ ,יְהוָה,H3069,6828
298178,298179,Abdias,1,1,וְ,וְ,H9000,50272
298179,298180,Abdias,1,1,צִיר֙ ,צִיר,H6735,6
298180,298181,Abdias,1,1,בַּ,בְּ,H9003,15542
298181,298182,Abdias,1,1,,הַ,H9009,30386
298182,298183,Abdias,1,1,גֹּויִ֣ם ,גֹּוי,H1471,555
298183,298184,Abdias,1,1,שֻׁלָּ֔ח ,שׁלח,H7971,847
298184,298185,Abdias,1,1,ק֛וּמוּ ,קום,H6965,629
298185,298186,Abdias,1,1,וְ,וְ,H9000,50272
298186,298187,Abdias,1,1,נָק֥וּמָה ,קום,H6965,629
298187,298188,Abdias,1,1,עָלֶ֖יהָ ,עַל,H5921,5766
298188,298189,Abdias,1,1,לַ,לְ,H9005,20069
298189,298190,Abdias,1,1,,הַ,H9009,30386
298190,298191,Abdias,1,1,מִּלְחָמָֽה׃ ,מִלְחָמָה,H4421,308
298191,298192,Abdias,1,2,הִנֵּ֥ה ,הִנֵּה,H2009,1060
298192,298193,Abdias,1,2,קָטֹ֛ן ,קָטֹן,H6996,54
298193,298194,Abdias,1,2,נְתַתִּ֖יךָ ,נתן,H5414,2010
298194,298195,Abdias,1,2,בַּ,בְּ,H9003,15542
298195,298196,Abdias,1,2,,הַ,H9009,30386
298196,298197,Abdias,1,2,גֹּויִ֑ם ,גֹּוי,H1471,555
298197,298198,Abdias,1,2,בָּז֥וּי ,בזה,H959,43
298198,298199,Abdias,1,2,אַתָּ֖ה ,אַתָּה,H859,747
298199,298200,Abdias,1,2,מְאֹֽד׃ ,מְאֹד,H3966,300
298200,298201,Abdias,1,3,זְדֹ֤ון ,זָדֹון,H2087,11
298201,298202,Abdias,1,3,לִבְּךָ֙ ,לֵב,H3820,601
298202,298203,Abdias,1,3,הִשִּׁיאֶ֔ךָ ,נשׁא,H5377,16
298203,298204,Abdias,1,3,שֹׁכְנִ֥י ,שׁכן,H7931,129
298204,298205,Abdias,1,3,בְ,בְּ,H9003,15542
298205,298206,Abdias,1,3,חַגְוֵי־,חָגוּ,H2288,3
298206,298207,Abdias,1,3,סֶּ֖לַע ,סֶלַע,H5553,60
298207,298208,Abdias,1,3,מְרֹ֣ום ,מָרֹום,H4791,54
298208,298209,Abdias,1,3,שִׁבְתֹּ֑ו ,ישׁב,H7674,1082
298209,298210,Abdias,1,3,אֹמֵ֣ר ,אמר,H559,5307
298210,298211,Abdias,1,3,בְּ,בְּ,H9003,15542
298211,298212,Abdias,1,3,לִבֹּ֔ו ,לֵב,H3820,601
298212,298213,Abdias,1,3,מִ֥י ,מִי,H4310,423
298213,298214,Abdias,1,3,יֹורִדֵ֖נִי ,ירד,H3381,377
298214,298215,Abdias,1,3,אָֽרֶץ׃ ,אֶרֶץ,H776,2504
298215,298216,Abdias,1,4,אִם־,אִם,H518,1068
298216,298217,Abdias,1,4,תַּגְבִּ֣יהַּ ,גָּבַהּ,H1361,34
298217,298218,Abdias,1,4,כַּ,כְּ,H9004,2902
298218,298219,Abdias,1,4,,הַ,H9009,30386
298219,298220,Abdias,1,4,נֶּ֔שֶׁר ,נֶשֶׁר,H5404,26
298220,298221,Abdias,1,4,וְ,וְ,H9000,50272
298221,298222,Abdias,1,4,אִם־,אִם,H518,1068
298222,298223,Abdias,1,4,בֵּ֥ין ,בַּיִן,H996,407
298223,298224,Abdias,1,4,כֹּֽוכָבִ֖ים ,כֹּוכָב,H3556,37
298224,298225,Abdias,1,4,שִׂ֣ים ,שׂים,H7760,583
298225,298226,Abdias,1,4,קִנֶּ֑ךָ ,קֵן,H7064,13
298226,298227,Abdias,1,4,מִ,מִן,H4480,7562
298227,298228,Abdias,1,4,שָּׁ֥ם ,שָׁם,H8033,834
298228,298229,Abdias,1,4,אֹורִֽידְךָ֖ ,ירד,H3381,377
298229,298230,Abdias,1,4,נְאֻם־,נְאֻם,H5002,376
298230,298231,Abdias,1,4,יְהוָֽה׃ ,יְהוָה,H3068,6828
298231,298232,Abdias,1,5,אִם־,אִם,H518,1068
298232,298233,Abdias,1,5,גַּנָּבִ֤ים ,גַּנָּב,H1590,17
298233,298234,Abdias,1,5,בָּאֽוּ־,בוא,H935,2570
298234,298235,Abdias,1,5,לְךָ֙ ,לְ,H9005,20069
298235,298236,Abdias,1,5,אִם־,אִם,H518,1068
298236,298237,Abdias,1,5,שֹׁ֣ודְדֵי ,שׁדד,H7703,58
298237,298238,Abdias,1,5,לַ֔יְלָה ,לַיְלָה,H3915,227
298238,298239,Abdias,1,5,אֵ֣יךְ ,אֵיךְ,H349,61
298239,298240,Abdias,1,5,נִדְמֵ֔יתָה ,דמה,H1820,16
298240,298241,Abdias,1,5,הֲ,הֲ,H9008,743
298241,298242,Abdias,1,5,לֹ֥וא ,לֹא,H3808,5167
298242,298243,Abdias,1,5,יִגְנְב֖וּ ,גנב,H1589,40
298243,298244,Abdias,1,5,דַּיָּ֑ם ,דַּי,H1767,39
298244,298245,Abdias,1,5,אִם־,אִם,H518,1068
298245,298246,Abdias,1,5,בֹּֽצְרִים֙ ,בצר,H1219,7
298246,298247,Abdias,1,5,בָּ֣אוּ ,בוא,H935,2570
298247,298248,Abdias,1,5,לָ֔ךְ ,לְ,H9005,20069
298248,298249,Abdias,1,5,הֲ,הֲ,H9008,743
298249,298250,Abdias,1,5,לֹ֖וא ,לֹא,H3808,5167
298250,298251,Abdias,1,5,יַשְׁאִ֥ירוּ ,שׁאר,H7604,133
298251,298252,Abdias,1,5,עֹלֵלֹֽות׃ ,עֹלֵלֹות,H5955,6
298252,298253,Abdias,1,6,אֵ֚יךְ ,אֵיךְ,H349,61
298253,298254,Abdias,1,6,נֶחְפְּשׂ֣וּ ,חפשׂ,H2664,23
298254,298255,Abdias,1,6,עֵשָׂ֔ו ,עֵשָׂו,H6215,97
298255,298256,Abdias,1,6,נִבְע֖וּ ,בעה,H1158,5
298256,298257,Abdias,1,6,מַצְפֻּנָֽיו׃ ,מַצְפּוּנִים,H4710,1
298257,298258,Abdias,1,7,עַֽד־,עַד,H5704,1263
298258,298259,Abdias,1,7,הַ,הַ,H9009,30386
298259,298260,Abdias,1,7,גְּב֣וּל ,גְּבוּל,H1366,240
298260,298261,Abdias,1,7,שִׁלְּח֗וּךָ ,שׁלח,H7971,847
298261,298262,Abdias,1,7,כֹּ֚ל ,כֹּל,H3605,5412
298262,298263,Abdias,1,7,אַנְשֵׁ֣י ,אִישׁ,H582,2186
298263,298264,Abdias,1,7,בְרִיתֶ֔ךָ ,בְּרִית,H1285,284
298264,298265,Abdias,1,7,הִשִּׁיא֛וּךָ ,נשׁא,H5377,16
298265,298266,Abdias,1,7,יָכְל֥וּ ,יכל,H3201,193
298266,298267,Abdias,1,7,לְךָ֖ ,לְ,H9005,20069
298267,298268,Abdias,1,7,אַנְשֵׁ֣י ,אִישׁ,H582,2186
298268,298269,Abdias,1,7,שְׁלֹמֶ֑ךָ ,שָׁלֹום,H7965,237
298269,298270,Abdias,1,7,לַחְמְךָ֗ ,לֶחֶם,H3899,298
298270,298271,Abdias,1,7,יָשִׂ֤ימוּ ,שׂים,H7760,583
298271,298272,Abdias,1,7,מָזֹור֙ ,מָזֹור,H4204,1
298272,298273,Abdias,1,7,תַּחְתֶּ֔יךָ ,תַּחַת,H8478,505
298273,298274,Abdias,1,7,אֵ֥ין ,אַיִן,H369,788
298274,298275,Abdias,1,7,תְּבוּנָ֖ה ,תְּבוּנָה,H8394,42
298275,298276,Abdias,1,7,בֹּֽו׃ ,בְּ,H9003,15542
298276,298277,Abdias,1,8,הֲ,הֲ,H9008,743
298277,298278,Abdias,1,8,לֹ֛וא ,לֹא,H3808,5167
298278,298279,Abdias,1,8,בַּ,בְּ,H9003,15542
298279,298280,Abdias,1,8,,הַ,H9009,30386
298280,298281,Abdias,1,8,יֹּ֥ום ,יֹום,H3117,2304
298281,298282,Abdias,1,8,הַ,הַ,H9009,30386
298282,298283,Abdias,1,8,ה֖וּא ,הוּא,H1931,1394
298283,298284,Abdias,1,8,נְאֻם ,נְאֻם,H5002,376
298284,298285,Abdias,1,8,יְהוָ֑ה ,יְהוָה,H3068,6828
298285,298286,Abdias,1,8,וְ,וְ,H9000,50272
298286,298287,Abdias,1,8,הַאֲבַדְתִּ֤י ,אבד,H6,186
298287,298288,Abdias,1,8,חֲכָמִים֙ ,חָכָם,H2450,138
298288,298289,Abdias,1,8,מֵֽ,מִן,H4480,7562
298289,298290,Abdias,1,8,אֱדֹ֔ום ,אֱדֹום,H123,100
298290,298291,Abdias,1,8,וּ,וְ,H9000,50272
298291,298292,Abdias,1,8,תְבוּנָ֖ה ,תְּבוּנָה,H8394,42
298292,298293,Abdias,1,8,מֵ,מִן,H4480,7562
298293,298294,Abdias,1,8,הַ֥ר ,הַר,H2022,558
298294,298295,Abdias,1,8,עֵשָֽׂו׃ ,עֵשָׂו,H6215,97
298295,298296,Abdias,1,9,וְ,וְ,H9000,50272
298296,298297,Abdias,1,9,חַתּ֥וּ ,חתת,H2865,54
298297,298298,Abdias,1,9,גִבֹּורֶ֖יךָ ,גִּבֹּור,H1368,159
298298,298299,Abdias,1,9,תֵּימָ֑ן ,תֵּימָן,H8487,11
298299,298300,Abdias,1,9,לְמַ֧עַן ,לְמַעַן,H4616,272
298300,298301,Abdias,1,9,יִכָּֽרֶת־,כרת,H3772,288
298301,298302,Abdias,1,9,אִ֛ישׁ ,אִישׁ,H376,2186
298302,298303,Abdias,1,9,מֵ,מִן,H4480,7562
298303,298304,Abdias,1,9,הַ֥ר ,הַר,H2022,558
298304,298305,Abdias,1,9,עֵשָׂ֖ו ,עֵשָׂו,H6215,97
298305,298306,Abdias,1,9,מִ,מִן,H4480,7562
298306,298307,Abdias,1,9,קָּֽטֶל׃ ,קֶטֶל,H6993,1
298307,298308,Abdias,1,10,מֵ,מִן,H4480,7562
298308,298309,Abdias,1,10,חֲמַ֛ס ,חָמָס,H2555,60
298309,298310,Abdias,1,10,אָחִ֥יךָ ,אָח,H251,629
298310,298311,Abdias,1,10,יַעֲקֹ֖ב ,יַעֲקֹב,H3290,349
298311,298312,Abdias,1,10,תְּכַסְּךָ֣ ,כסה,H3680,152
298312,298313,Abdias,1,10,בוּשָׁ֑ה ,בּוּשָׁה,H955,4
298313,298314,Abdias,1,10,וְ,וְ,H9000,50272
298314,298315,Abdias,1,10,נִכְרַ֖תָּ ,כרת,H3772,288
298315,298316,Abdias,1,10,לְ,לְ,H9005,20069
298316,298317,Abdias,1,10,עֹולָֽם׃ ,עֹולָם,H5769,438
298317,298318,Abdias,1,11,בְּ,בְּ,H9003,15542
298318,298319,Abdias,1,11,יֹום֙ ,יֹום,H3117,2304
298319,298320,Abdias,1,11,עֲמָֽדְךָ֣ ,עמד,H5975,521
298320,298321,Abdias,1,11,מִ,מִן,H4480,7562
298321,298322,Abdias,1,11,נֶּ֔גֶד ,נֶגֶד,H5048,151
298322,298323,Abdias,1,11,בְּ,בְּ,H9003,15542
298323,298324,Abdias,1,11,יֹ֛ום ,יֹום,H3117,2304
298324,298325,Abdias,1,11,שְׁבֹ֥ות ,שׁבה,H7617,47
298325,298326,Abdias,1,11,זָרִ֖ים ,זָר,H2114,70
298326,298327,Abdias,1,11,חֵילֹ֑ו ,חַיִל,H2428,244
298327,298328,Abdias,1,11,וְ,וְ,H9000,50272
298328,298329,Abdias,1,11,נָכְרִ֞ים ,נָכְרִי,H5237,45
298329,298330,Abdias,1,11,בָּ֣אוּ ,בוא,H935,2570
298330,298331,Abdias,1,11,<QR>שְׁעָרָ֗יו <qr>,שַׁעַר,H8179,374
298331,298332,Abdias,1,11,וְ,וְ,H9000,50272
298332,298333,Abdias,1,11,עַל־,עַל,H5921,5766
298333,298334,Abdias,1,11,יְרוּשָׁלִַ֨ם֙ ,יְרוּשָׁלִַם,H3389,643
298334,298335,Abdias,1,11,יַדּ֣וּ ,ידד,H3032,3
298335,298336,Abdias,1,11,גֹורָ֔ל ,גֹּורָל,H1486,77
298336,298337,Abdias,1,11,גַּם־,גַּם,H1571,769
298337,298338,Abdias,1,11,אַתָּ֖ה ,אַתָּה,H859,747
298338,298339,Abdias,1,11,כְּ,כְּ,H9004,2902
298339,298340,Abdias,1,11,אַחַ֥ד ,אֶחָד,H259,970
298340,298341,Abdias,1,11,מֵהֶֽם׃ ,מִן,H1992,7562
298341,298342,Abdias,1,12,וְ,וְ,H9000,50272
298342,298343,Abdias,1,12,אַל־,אַל,H408,726
298343,298344,Abdias,1,12,תֵּ֤רֶא ,ראה,H7200,1298
298344,298345,Abdias,1,12,בְ,בְּ,H9003,15542
298345,298346,Abdias,1,12,יֹום־,יֹום,H3117,2304
298346,298347,Abdias,1,12,אָחִ֨יךָ֙ ,אָח,H251,629
298347,298348,Abdias,1,12,בְּ,בְּ,H9003,15542
298348,298349,Abdias,1,12,יֹ֣ום ,יֹום,H3117,2304
298349,298350,Abdias,1,12,נָכְרֹ֔ו ,נֵכֶר,H5237,2
298350,298351,Abdias,1,12,וְ,וְ,H9000,50272
298351,298352,Abdias,1,12,אַל־,אַל,H408,726
298352,298353,Abdias,1,12,תִּשְׂמַ֥ח ,שׂמח,H8055,154
298353,298354,Abdias,1,12,לִ,לְ,H9005,20069
298354,298355,Abdias,1,12,בְנֵֽי־,בֵּן,H1121,4937
298355,298356,Abdias,1,12,יְהוּדָ֖ה ,יְהוּדָה,H3063,819
298356,298357,Abdias,1,12,בְּ,בְּ,H9003,15542
298357,298358,Abdias,1,12,יֹ֣ום ,יֹום,H3117,2304
298358,298359,Abdias,1,12,אָבְדָ֑ם ,אבד,H6,186
298359,298360,Abdias,1,12,וְ,וְ,H9000,50272
